iter	Passed	Remaining
0	130	130724
1	132	66156
2	134	44737
3	136	33994
4	138	27494
5	139	23165
6	142	20167
7	144	17914
8	146	16129
9	148	14670
10	149	13468
11	151	12470
12	153	11653
13	155	10946
14	157	10318
15	158	9762
16	160	9280
17	162	8843
18	163	8444
19	164	8084
20	166	7759
21	168	7478
22	169	7206
23	170	6948
24	172	6708
25	173	6487
26	174	6279
27	175	6086
28	176	5902
29	177	5732
30	178	5571
31	179	5421
32	180	5281
33	181	5152
34	182	5031
35	184	4934
36	185	4823
37	186	4716
38	187	4613
39	188	4515
40	189	4425
41	190	4338
42	191	4254
43	192	4174
44	192	4095
45	193	4019
46	194	3947
47	195	3883
48	197	3829
49	198	3776
50	199	3716
51	200	3658
52	201	3602
53	202	3551
54	203	3503
55	205	3456
56	205	3407
57	206	3359
58	207	3313
59	208	3269
60	209	3232
61	211	3195
62	212	3165
63	213	3126
64	214	3088
65	215	3050
66	216	3013
67	217	2979
68	218	2945
69	219	2911
70	220	2878
71	220	2847
72	221	2816
73	222	2785
74	223	2756
75	224	2731
76	225	2706
77	227	2685
78	228	2659
79	229	2633
80	229	2608
81	230	2583
82	231	2554
83	232	2533
84	233	2510
85	234	2489
86	235	2468
87	236	2446
88	237	2429
89	238	2410
90	239	2394
91	240	2377
92	242	2363
93	243	2346
94	244	2328
95	245	2310
96	246	2292
97	247	2276
98	248	2260
99	249	2243
100	250	2226
101	251	2210
102	252	2195
103	252	2178
104	254	2165
105	256	2159
106	258	2153
107	259	2143
108	260	2131
109	262	2120
110	263	2106
111	264	2093
112	264	2079
113	265	2065
114	266	2051
115	267	2038
116	268	2024
117	269	2012
118	270	2003
119	271	1994
120	273	1984
121	273	1970
122	274	1959
123	275	1947
124	276	1936
125	277	1925
126	278	1912
127	279	1901
128	280	1890
129	280	1879
130	281	1868
131	282	1857
132	283	1847
133	284	1839
134	285	1831
135	286	1822
136	288	1814
137	288	1805
138	289	1795
139	290	1785
140	291	1777
141	292	1766
142	293	1757
143	294	1748
144	294	1739
145	295	1729
146	296	1721
147	297	1712
148	298	1706
149	300	1701
150	301	1696
151	302	1689
152	303	1682
153	304	1674
154	305	1666
155	306	1659
156	307	1651
157	308	1643
158	309	1635
159	310	1628
160	310	1619
161	311	1611
162	312	1604
163	313	1598
164	314	1591
165	315	1586
166	317	1581
167	317	1574
168	318	1567
169	319	1561
170	320	1555
171	321	1549
172	322	1542
173	323	1535
174	324	1529
175	325	1522
176	326	1516
177	326	1510
178	327	1503
179	328	1498
180	330	1495
181	331	1490
182	332	1486
183	333	1480
184	334	1474
185	335	1469
186	336	1463
187	337	1457
188	338	1452
189	339	1446
190	340	1441
191	341	1435
192	341	1429
193	342	1424
